Lemon cream tart	Tartine Bakery and Cafe	600 Guerrero St.
Alfajores	Sabores del Sur	Alemany Farmers Market
Coconut tapioca	The Slanted Door	Ferry Building Marketplace
Hot chocolate	Christopher Elbow	401 Hayes St.
Lemon cookie ice cream	Three Twins Ice Cream	254 Fillmore St.
Ginger cake with pumpkin ice cream	Chow	215 Church St.
Vietnamese coffee ice cream	Humphry Slocombe	2790 Harrison St.
Toffee cake	Starbelly	3583 16th St.
Peanut butter sandwich cookie	'Wichcraft	868 Mission St.
Chocolate-coconut cookies	Kitchenette	958 Illinois St.
Honey cakes	Kika's Treats	2565 Third St.
Salty-sweet cashew bar	Charles Chocolates	845 Market St.
Old-fashioned chocolate cake with Italian meringue frosting	Miette	Ferry Building Marketplace
Made-to-order vanilla souffle	Canteen	817 Sutter St.
Coconut rice pudding	Loving Cup	2356 Polk St.
Macarons	Paulette Macarons	Closed
Cheesecake	Zanze's	2405 Ocean Ave
Maple-honey caramels	Sweet Revolution	2565 Third St.
Egg tart	Golden Gate Bakery	1029 Grant Ave.
Any truffle	Michael Recchiuti	Ferry Building Marketplace
Coconut cupcake	Kara's Cupcakes	3249 Scott St.
Burnt caramel tiles	Poco Dolce	2419 Third St.
Vacherin	Coco 500	500 Brannan St.
Salted Caramel Ice Cream	Bi-Rite Creamery	3692 18th St.
Spiced chocolate donuts	Dynamo Donut	2760 24th St.
Butterscotch and chocolate pot de crème	Town Hall	342 Howard St.
Caneles	Mission Beach Cafe	198 Guerrero St.
Chocolate budino tart	A16	2355 Chestnut St.
TCHO chocolate bar (plain and simple)	TCHO	Pier 17
Fortune cookies (with customized fortunes)	Golden Gate Fortune Cookies	56 Ross Alley
Mochi	Benkyodo	1747 Buchanan St.
Panna cotta	Delfina	3621 18th St.
Ube ice cream	Mitchell's	688 San Jose Ave.
Most anything made by pastry chef Melissa Chou	Aziza	5800 Geary Blvd.
Coffee crunch cake	Yasukochi's Sweet Stop	1790 Sutter St.
Toffee-chip cookies	Anthony's Cookies	1417 Valencia St.
Espresso granita	Zuni Cafe	1658 Market St.
Clairesquare from Clairesquares	Avedano's	235 Cortland Ave.
Mango-chile paleta	a cart	Dolores Park
Any flavor of the week	Scream Sorbet	Local farmers markets
Chocolate shake	Whiz Burger	700 S. Van Ness Ave.
Mini palmiers	La Boulange	2325 Pine St.
Swiss-orange-chip ice cream	Swensen's	1999 Hyde St.
Shortbread	Arizmendi Bakery	1331 Ninth Ave.
Chocolate-hazelnut pizza	Gialina Pizzeria	2842 Diamond St.
Baklava ice cream	Kokkari	200 Jackson St.
Brillat Savarin souffle	Range	842 Valencia St.
The candy cart	Masa's	648 Bush St.
"Kracker Jax"	Public House	24 Willie Mays Plaza
S'more Brownie	Citizen Cake	Closed
